support,itemsets,length
0.5527305974610542,"frozenset({'F_Single', 'P_No'})",2
0.15611703062910995,"frozenset({'Q_17_to_25', 'F_Single'})",2
0.13250342863171222,"frozenset({'Q_26_to_39', 'F_Single'})",2
0.13262650771881704,"frozenset({'F_Single', 'Q_40_to_64'})",2
0.3024228997432922,"frozenset({'R_Weekday', 'F_Single'})",2
0.25357808488940464,"frozenset({'F_Single', 'R_Weekend'})",2
0.2666947990294335,"frozenset({'S_Day', 'F_Single'})",2
0.28876112107465624,"frozenset({'S_Night', 'F_Single'})",2
0.3523402609276647,"frozenset({'H_-9', 'G_No'})",2
0.5952280479656785,"frozenset({'H_No', 'G_No'})",2
0.8822836445475964,"frozenset({'G_No', 'I_No'})",2
0.33709603685339523,"frozenset({'J_100', 'G_No'})",2
0.11361958012448571,"frozenset({'G_No', 'J_110'})",2
0.24693181418574392,"frozenset({'G_No', 'J_60'})",2
0.11636248549425045,"frozenset({'G_No', 'J_80'})",2
0.4461089425748145,"frozenset({'K_Driver', 'G_No'})",2
0.12930337236698666,"frozenset({'K_Motorcycle rider', 'G_No'})",2
0.22094454407989592,"frozenset({'G_No', 'K_Passenger'})",2
0.14889052994338361,"frozenset({'G_No', 'K_Pedestrian'})",2
0.2740619615289939,"frozenset({'G_No', 'L_Female'})",2
0.7058585645461898,"frozenset({'G_No', 'L_Male'})",2
0.785244575728804,"frozenset({'M_Unknown', 'G_No'})",2
0.7960052044871119,"frozenset({'N_Undetermined', 'G_No'})",2
0.9495551570137497,"frozenset({'G_No', 'O_No'})",2
0.9746632907831346,"frozenset({'G_No', 'P_No'})",2
0.2520659703906882,"frozenset({'G_No', 'Q_17_to_25'})",2
0.22876885747441714,"frozenset({'Q_26_to_39', 'G_No'})",2
0.2519428913035834,"frozenset({'G_No', 'Q_40_to_64'})",2
0.5753244013081549,"frozenset({'G_No', 'R_Weekday'})",2
0.4049653620283434,"frozenset({'G_No', 'R_Weekend'})",2
0.5563350564405528,"frozenset({'S_Day', 'G_No'})",2
0.4234096423673383,"frozenset({'S_Night', 'G_No'})",2
0.32262545275521326,"frozenset({'H_-9', 'I_No'})",2
0.11565917642508,"frozenset({'J_100', 'H_-9'})",2
0.12056475718254386,"frozenset({'H_-9', 'J_60'})",2
0.15474557794422758,"frozenset({'K_Driver', 'H_-9'})",2
0.10644582761894715,"frozenset({'H_-9', 'L_Female'})",2
0.25493195484755776,"frozenset({'H_-9', 'L_Male'})",2
0.36063930794387594,"frozenset({'M_Unknown', 'H_-9'})",2
0.36063930794387594,"frozenset({'N_Undetermined', 'H_-9'})",2
0.35007208917959,"frozenset({'H_-9', 'O_No'})",2
0.361448113373422,"frozenset({'H_-9', 'P_No'})",2
0.10528536765481591,"frozenset({'H_-9', 'Q_17_to_25'})",2
0.20948060625241763,"frozenset({'H_-9', 'R_Weekday'})",2
0.15180926258044097,"frozenset({'H_-9', 'R_Weekend'})",2
0.19954636565038505,"frozenset({'S_Day', 'H_-9'})",2
0.1615852586419102,"frozenset({'S_Night', 'H_-9'})",2
0.545785420402996,"frozenset({'H_No', 'I_No'})",2
0.2154763160670957,"frozenset({'H_No', 'J_100'})",2
0.12735168970003868,"frozenset({'H_No', 'J_60'})",2
0.27902029046664556,"frozenset({'H_No', 'K_Driver'})",2
0.12497802159158843,"frozenset({'H_No', 'K_Passenger'})",2
0.16580511305693288,"frozenset({'H_No', 'L_Female'})",2
0.43898793824946375,"frozenset({'H_No', 'L_Male'})",2
0.4203150824629884,"frozenset({'M_Unknown', 'H_No'})",2
0.4301614094313746,"frozenset({'H_No', 'N_Undetermined'})",2
0.5856982100784189,"frozenset({'H_No', 'O_No'})",2
0.5995709814678061,"frozenset({'H_No', 'P_No'})",2
0.14502233006294615,"frozenset({'H_No', 'Q_17_to_25'})",2
0.13985300840454337,"frozenset({'Q_26_to_39', 'H_No'})",2
0.16740514118929564,"frozenset({'H_No', 'Q_40_to_64'})",2
0.35221718184055983,"frozenset({'H_No', 'R_Weekday'})",2
0.252997854907339,"frozenset({'H_No', 'R_Weekend'})",2
0.34328515666209514,"frozenset({'H_No', 'S_Day'})",2
0.2615606428244892,"frozenset({'H_No', 'S_Night'})",2
0.2944403418082076,"frozenset({'J_100', 'I_No'})",2
0.24039103984245877,"frozenset({'I_No', 'J_60'})",2
0.10783486303055878,"frozenset({'I_No', 'J_80'})",2
0.38889474979779864,"frozenset({'K_Driver', 'I_No'})",2
0.12590990610823927,"frozenset({'K_Motorcycle rider', 'I_No'})",2
0.20571790273235574,"frozenset({'I_No', 'K_Passenger'})",2
0.1452333227836973,"frozenset({'K_Pedestrian', 'I_No'})",2
0.2559517529978549,"frozenset({'I_No', 'L_Female'})",2
0.6429299855821641,"frozenset({'I_No', 'L_Male'})",2
0.7173049196469389,"frozenset({'M_Unknown', 'I_No'})",2
0.7274677356964518,"frozenset({'N_Undetermined', 'I_No'})",2
0.8700460667440306,"frozenset({'O_No', 'I_No'})",2
0.893765165101804,"frozenset({'I_No', 'P_No'})",2
0.23613601997397757,"frozenset({'Q_17_to_25', 'I_No'})",2
0.20584098181946056,"frozenset({'Q_26_to_39', 'I_No'})",2
0.2236171185427436,"frozenset({'I_No', 'Q_40_to_64'})",2
0.5142244259239723,"frozenset({'R_Weekday', 'I_No'})",2
0.38492105355698564,"frozenset({'I_No', 'R_Weekend'})",2
0.5085100397369624,"frozenset({'S_Day', 'I_No'})",2
0.3900903752153884,"frozenset({'S_Night', 'I_No'})",2
0.19520343214825756,"frozenset({'J_100', 'K_Driver'})",2
0.242694377043992,"frozenset({'J_100', 'L_Male'})",2
0.27958293772198195,"frozenset({'M_Unknown', 'J_100'})",2
0.2818159440165981,"frozenset({'J_100', 'N_Undetermined'})",2
0.33029152160917113,"frozenset({'J_100', 'O_No'})",2
0.34024334493793296,"frozenset({'J_100', 'P_No'})",2
0.19891338748813167,"frozenset({'J_100', 'R_Weekday'})",2
0.14343988465731267,"frozenset({'J_100', 'R_Weekend'})",2
0.20874213172978864,"frozenset({'J_100', 'S_Day'})",2
0.13345289587509232,"frozenset({'J_100', 'S_Night'})",2
0.11040194113303091,"frozenset({'O_No', 'J_110'})",2
0.11383057284523684,"frozenset({'J_110', 'P_No'})",2
0.18129549530541197,"frozenset({'L_Male', 'J_60'})",2
0.2186939550585505,"frozenset({'M_Unknown', 'J_60'})",2
0.2209972922600837,"frozenset({'N_Undetermined', 'J_60'})",2
0.24724830326687064,"frozenset({'O_No', 'J_60'})",2
