antecedents,consequents,support,confidence,lift
"frozenset({'H_-9', 'G_No', 'O_No'})",frozenset({'M_Unknown'}),0.34126314308823014,1.0,1.2494288224956063
"frozenset({'M_Unknown', 'I_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.21589830150859796,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.21461476245736189,1.0,1.2556630017220825
"frozenset({'H_-9', 'G_No', 'O_No'})",frozenset({'N_Undetermined'}),0.34126314308823014,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.21461476245736189,1.0,1.2542230847263265
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})","frozenset({'P_No', 'N_Undetermined'})",0.21461476245736189,1.0,1.2375481428291664
"frozenset({'H_-9', 'G_No', 'O_No'})",frozenset({'P_No'}),0.34126314308823014,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.21461476245736189,1.0,1.2508577461071522
"frozenset({'M_Unknown', 'G_No', 'O_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.34126314308823014,1.0,1.2327466620426564
"frozenset({'P_No', 'G_No', 'O_No', 'H_-9'})",frozenset({'M_Unknown'}),0.34126314308823014,1.0,1.2494288224956063
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.21461476245736189,1.0,1.2494288224956063
"frozenset({'H_-9', 'G_No', 'O_No', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.34126314308823014,1.0,1.2494288224956063
"frozenset({'H_-9', 'G_No', 'O_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.34126314308823014,1.0,1.2508577461071522
"frozenset({'P_No', 'G_No', 'O_No', 'M_Unknown', 'A_NSW'})",frozenset({'N_Undetermined'}),0.2309666983155748,1.0,1.2327466620426564
"frozenset({'P_No', 'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})",frozenset({'N_Undetermined'}),0.21461476245736189,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.21461476245736189,1.0,1.2508577461071522
"frozenset({'M_Unknown', 'G_No', 'O_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.23179308647185007,1.0,1.2327466620426564
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.21461476245736189,1.0,1.2494288224956063
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'L_Male'})",frozenset({'N_Undetermined'}),0.21461476245736189,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'G_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3523402609276647,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3606041424904174,1.0,1.0059251136383736
"frozenset({'H_-9', 'G_No', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3523402609276647,1.0,1.2494288224956063
"frozenset({'M_Unknown', 'I_No', 'O_No', 'H_-9'})",frozenset({'P_No'}),0.3118824067236347,1.0,1.0059251136383736
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})",frozenset({'M_Unknown'}),0.3047965678517425,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'O_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3118824067236347,1.0,1.2508577461071522
"frozenset({'H_-9', 'I_No', 'O_No', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3118824067236347,1.0,1.2494288224956063
"frozenset({'M_Unknown', 'I_No', 'O_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3118824067236347,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})",frozenset({'P_No'}),0.3047965678517425,1.0,1.0059251136383736
"frozenset({'H_-9', 'I_No', 'O_No'})","frozenset({'P_No', 'N_Undetermined'})",0.3118824067236347,1.0,1.2375481428291664
"frozenset({'H_-9', 'I_No', 'O_No', 'N_Undetermined'})",frozenset({'P_No'}),0.3118824067236347,1.0,1.0059251136383736
"frozenset({'P_No', 'I_No', 'O_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3118824067236347,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'O_No'})","frozenset({'P_No', 'M_Unknown'})",0.3118824067236347,1.0,1.2542230847263265
"frozenset({'P_No', 'I_No', 'O_No', 'H_-9'})",frozenset({'M_Unknown'}),0.3118824067236347,1.0,1.2494288224956063
"frozenset({'P_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3118824067236347,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'O_No'})",frozenset({'N_Undetermined'}),0.3118824067236347,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'O_No'})",frozenset({'M_Unknown'}),0.3118824067236347,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'O_No'})",frozenset({'P_No'}),0.3118824067236347,1.0,1.0059251136383736
"frozenset({'H_-9', 'I_No', 'G_No'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.3154341175229455,1.0,1.2556630017220825
"frozenset({'H_-9', 'I_No', 'G_No', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.3154341175229455,1.0,1.2542230847263265
"frozenset({'M_Unknown', 'I_No', 'G_No', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.3154341175229455,1.0,1.2375481428291664
"frozenset({'P_No', 'I_No', 'G_No', 'H_-9'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3154341175229455,1.0,1.2508577461071522
"frozenset({'G_No', 'M_Unknown', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3154341175229455,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3154341175229455,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})",frozenset({'N_Undetermined'}),0.3047965678517425,1.0,1.2327466620426564
"frozenset({'P_No', 'O_No', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3118824067236347,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'G_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3154341175229455,1.0,1.2508577461071522
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3047965678517425,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.3047965678517425,1.0,1.2556630017220825
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.3047965678517425,1.0,1.2542230847263265
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.3047965678517425,1.0,1.2375481428291664
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3047965678517425,1.0,1.2508577461071522
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3047965678517425,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3047965678517425,1.0,1.2494288224956063
"frozenset({'P_No', 'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3047965678517425,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3047965678517425,1.0,1.2508577461071522
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3047965678517425,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})","frozenset({'P_No', 'N_Undetermined'})",0.3047965678517425,1.0,1.2375481428291664
"frozenset({'O_No', 'M_Unknown', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3118824067236347,1.0,1.0059251136383736
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3047965678517425,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3047965678517425,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'G_No', 'O_No'})","frozenset({'P_No', 'M_Unknown'})",0.3047965678517425,1.0,1.2542230847263265
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'H_-9'})",frozenset({'P_No'}),0.3047965678517425,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'I_No', 'H_-9'})",frozenset({'M_Unknown'}),0.3047965678517425,1.0,1.2494288224956063
"frozenset({'H_-9', 'I_No', 'O_No'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.3118824067236347,1.0,1.2556630017220825
"frozenset({'H_-9', 'I_No', 'O_No', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.3118824067236347,1.0,1.2542230847263265
"frozenset({'M_Unknown', 'I_No', 'O_No', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.3118824067236347,1.0,1.2375481428291664
"frozenset({'P_No', 'I_No', 'O_No', 'H_-9'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3118824067236347,1.0,1.2508577461071522
"frozenset({'P_No', 'G_No', 'M_Unknown', 'I_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.3154341175229455,1.0,1.2327466620426564
"frozenset({'H_-9', 'I_No', 'G_No', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.3154341175229455,1.0,1.2494288224956063
"frozenset({'H_-9', 'G_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.3523402609276647,1.0,1.2508577461071522
"frozenset({'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.36063930794387594,1.0,1.0059251136383736
"frozenset({'H_-9', 'I_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.32262545275521326,1.0,1.2508577461071522
