National LGA Name 2021,State,National Remoteness Areas,Location Dimension Index
Manningham,Vic,Major Cities of Australia,206
Bathurst Regional,NSW,Inner Regional Australia,207
Wudinna,SA,Remote Australia,208
Inverell,NSW,Outer Regional Australia,209
Brimbank,Vic,Major Cities of Australia,210
Charles Sturt,SA,Major Cities of Australia,211
Flinders (Tas.),Tas,Very Remote Australia,212
Burnie,Tas,Outer Regional Australia,213
Greater Geelong,Vic,Major Cities of Australia,214
Adelaide Hills,SA,Major Cities of Australia,215
Onkaparinga,SA,Inner Regional Australia,216
Launceston,Tas,Outer Regional Australia,217
Indigo,Vic,Inner Regional Australia,218
Yarra,Vic,Major Cities of Australia,219
Port Phillip,Vic,Major Cities of Australia,220
Waratah-Wynyard,Tas,Outer Regional Australia,221
Campaspe,Vic,Inner Regional Australia,222
Barkly,NT,Very Remote Australia,223
Blayney,NSW,Inner Regional Australia,224
Campbelltown (SA),SA,Major Cities of Australia,225
Latrobe (Vic.),Vic,Inner Regional Australia,226
Palmerston,NT,Outer Regional Australia,227
Gunnedah,NSW,Outer Regional Australia,228
Break O'Day,Tas,Outer Regional Australia,229
Buloke,Vic,Outer Regional Australia,230
West Wimmera,Vic,Outer Regional Australia,231
Ku-ring-gai,NSW,Major Cities of Australia,232
Casey,Vic,Inner Regional Australia,233
Warrnambool,Vic,Inner Regional Australia,234
Berrigan,NSW,Inner Regional Australia,235
Warren,NSW,Remote Australia,236
Victoria Daly,NT,Very Remote Australia,237
Moira,Vic,Inner Regional Australia,238
Berri Barmera,SA,Outer Regional Australia,239
Moonee Valley,Vic,Major Cities of Australia,240
Litchfield,NT,Outer Regional Australia,241
Greater Dandenong,Vic,Major Cities of Australia,242
Toowoomba,Qld,Outer Regional Australia,243
Onkaparinga,SA,Major Cities of Australia,244
Inner West,NSW,Major Cities of Australia,245
Whyalla,SA,Outer Regional Australia,246
Rockhampton,Qld,Outer Regional Australia,247
Unincorporated SA,SA,Remote Australia,248
Gladstone,Qld,Inner Regional Australia,249
Noosa,Qld,Inner Regional Australia,250
Mount Isa,Qld,Remote Australia,251
Maribyrnong,Vic,Major Cities of Australia,252
Marion,SA,Major Cities of Australia,253
Gold Coast,Qld,Inner Regional Australia,254
Mildura,Vic,Outer Regional Australia,255
Hornsby,NSW,Inner Regional Australia,256
Mansfield,Vic,Outer Regional Australia,257
Charters Towers,Qld,Very Remote Australia,258
Richmond Valley,NSW,Inner Regional Australia,259
Sutherland,NSW,Inner Regional Australia,260
Mid-Western Regional,NSW,Inner Regional Australia,261
Hume,Vic,Major Cities of Australia,262
Newcastle,NSW,Major Cities of Australia,263
West Tamar,Tas,Inner Regional Australia,264
Glen Eira,Vic,Major Cities of Australia,265
Sunshine Coast,Qld,Inner Regional Australia,266
Nillumbik,Vic,Major Cities of Australia,267
Yarriambiack,Vic,Remote Australia,268
Pyrenees,Vic,Inner Regional Australia,269
Unincorporated,NSW,Remote Australia,270
Strathfield,NSW,Major Cities of Australia,271
Bayside,NSW,Major Cities of Australia,272
Coffs Harbour,NSW,Inner Regional Australia,273
Lake Macquarie,NSW,Inner Regional Australia,274
Bundaberg,Qld,Outer Regional Australia,275
Mid Murray,SA,Inner Regional Australia,276
Murray Bridge,SA,Inner Regional Australia,277
Murray River,NSW,Outer Regional Australia,278
Camden,NSW,Major Cities of Australia,279
Glenorchy,Tas,Inner Regional Australia,280
Randwick,NSW,Major Cities of Australia,281
Hunters Hill,NSW,Major Cities of Australia,282
Wangaratta,Vic,Inner Regional Australia,283
Parkes,NSW,Outer Regional Australia,284
Dubbo Regional,NSW,Outer Regional Australia,285
Byron,NSW,Inner Regional Australia,286
Unincorporated ACT,ACT,Inner Regional Australia,287
Moorabool,Vic,Inner Regional Australia,288
Isaac,Qld,Outer Regional Australia,289
Benalla,Vic,Inner Regional Australia,290
Bellingen,NSW,Inner Regional Australia,291
Wellington,Vic,Inner Regional Australia,292
Central Coast,NSW,Inner Regional Australia,293
Edward River,NSW,Outer Regional Australia,294
Coorong,SA,Outer Regional Australia,295
George Town,Tas,Outer Regional Australia,296
Ryde,NSW,Major Cities of Australia,297
Bass Coast,Vic,Inner Regional Australia,298
Richmond,Qld,Very Remote Australia,299
Strathbogie,Vic,Inner Regional Australia,300
Hay,NSW,Remote Australia,301
Weddin,NSW,Outer Regional Australia,302
Moira,Vic,Outer Regional Australia,303
Lachlan,NSW,Outer Regional Australia,304
Waverley,NSW,Major Cities of Australia,305
Northern Grampians,Vic,Outer Regional Australia,306
Charters Towers,Qld,Outer Regional Australia,307
Mareeba,Qld,Outer Regional Australia,308
Horsham,Vic,Outer Regional Australia,309
Adelaide Plains,SA,Inner Regional Australia,310
Mount Remarkable,SA,Outer Regional Australia,311
Gilgandra,NSW,Outer Regional Australia,312
Goondiwindi,Qld,Outer Regional Australia,313
Cassowary Coast,Qld,Remote Australia,314
Clare and Gilbert Valleys,SA,Outer Regional Australia,315
West Torrens,SA,Major Cities of Australia,316
Yarriambiack,Vic,Outer Regional Australia,317
Alpine,Vic,Outer Regional Australia,318
Snowy Valleys,NSW,Inner Regional Australia,319
Whitehorse,Vic,Major Cities of Australia,320
Cloncurry,Qld,Very Remote Australia,321
Hawkesbury,NSW,Outer Regional Australia,322
Western Downs,Qld,Remote Australia,323
Redland,Qld,Outer Regional Australia,324
Hawkesbury,NSW,Major Cities of Australia,325
Sorell,Tas,Inner Regional Australia,326
Towong,Vic,Outer Regional Australia,327
Grant,SA,Outer Regional Australia,328
Hepburn,Vic,Inner Regional Australia,329
Central Highlands (Qld),Qld,Outer Regional Australia,330
Charters Towers,Qld,Remote Australia,331
Blayney,NSW,Outer Regional Australia,332
Hilltops,NSW,Outer Regional Australia,333
Undetermined,WA,Major Cities of Australia,334
Circular Head,Tas,Remote Australia,335
Swan Hill,Vic,Outer Regional Australia,336
Murrumbidgee,NSW,Outer Regional Australia,337
Undetermined,WA,Inner Regional Australia,338
Undetermined,WA,Outer Regional Australia,339
Upper Lachlan,NSW,Outer Regional Australia,340
Orange,NSW,Inner Regional Australia,341
Launceston,Tas,Inner Regional Australia,342
Cowra,NSW,Outer Regional Australia,343
Walkerville,SA,Major Cities of Australia,344
Undetermined,WA,Remote Australia,345
Wentworth,NSW,Remote Australia,346
Tasman,Tas,Outer Regional Australia,347
Latrobe (Tas.),Tas,Outer Regional Australia,348
Port Augusta,SA,Outer Regional Australia,349
Benalla,Vic,Outer Regional Australia,350
Liverpool Plains,NSW,Outer Regional Australia,351
Mornington Peninsula,Vic,Inner Regional Australia,352
Banana,Qld,Outer Regional Australia,353
Undetermined,WA,Very Remote Australia,354
Mount Barker,SA,Major Cities of Australia,355
Loddon,Vic,Outer Regional Australia,356
Eurobodalla,NSW,Inner Regional Australia,357
Sutherland,NSW,Major Cities of Australia,358
Roper Gulf,NT,Very Remote Australia,359
Barunga West,SA,Outer Regional Australia,360
Tamworth Regional,NSW,Inner Regional Australia,361
West Coast,Tas,Remote Australia,362
Tatiara,SA,Outer Regional Australia,363
Snowy Monaro Regional,NSW,Inner Regional Australia,364
Etheridge,Qld,Very Remote Australia,365
Bland,NSW,Outer Regional Australia,366
Oberon,NSW,Outer Regional Australia,367
Maranoa,Qld,Outer Regional Australia,368
East Gippsland,Vic,Remote Australia,369
Corangamite,Vic,Inner Regional Australia,370
Yorke Peninsula,SA,Outer Regional Australia,371
Derwent Valley,Tas,Inner Regional Australia,372
Port Pirie,SA,Outer Regional Australia,373
Muswellbrook,NSW,Outer Regional Australia,374
Circular Head,Tas,Outer Regional Australia,375
Devonport,Tas,Outer Regional Australia,376
Flinders (Qld),Qld,Very Remote Australia,377
Burwood,NSW,Major Cities of Australia,378
Alice Springs,NT,Remote Australia,379
Nambucca Valley,NSW,Outer Regional Australia,380
Somerset,Qld,Outer Regional Australia,381
Lachlan,NSW,Remote Australia,382
Gwydir,NSW,Outer Regional Australia,383
Banyule,Vic,Major Cities of Australia,384
Lithgow,NSW,Outer Regional Australia,385
Federation,NSW,Inner Regional Australia,386
Wagga Wagga,NSW,Outer Regional Australia,387
Coonamble,NSW,Remote Australia,388
Kempsey,NSW,Inner Regional Australia,389
Carrathool,NSW,Outer Regional Australia,390
Barcoo,Qld,Very Remote Australia,391
Hobsons Bay,Vic,Major Cities of Australia,392
Temora,NSW,Outer Regional Australia,393
Karoonda East Murray,SA,Outer Regional Australia,394
Livingstone,Qld,Inner Regional Australia,395
Unincorporated Vic,Vic,Outer Regional Australia,396
Gannawarra,Vic,Outer Regional Australia,397
Blue Mountains,NSW,Inner Regional Australia,398
Ceduna,SA,Very Remote Australia,399
Whitsunday,Qld,Remote Australia,400
Shellharbour,NSW,Inner Regional Australia,401
Darwin,NT,Outer Regional Australia,402
Baw Baw,Vic,Outer Regional Australia,403
Central Desert,NT,Very Remote Australia,404
Kempsey,NSW,Outer Regional Australia,405
Carpentaria,Qld,Very Remote Australia,406
Unknown,Vic,Unknown,407
Wudinna,SA,Very Remote Australia,408
Murweh,Qld,Very Remote Australia,409
Eurobodalla,NSW,Outer Regional Australia,410
Renmark Paringa,SA,Outer Regional Australia,411
Loxton Waikerie,SA,Outer Regional Australia,412
Central Coast (Tas.),Tas,Outer Regional Australia,413
Berrigan,NSW,Outer Regional Australia,414
Norwood Payneham and St Peters,SA,Major Cities of Australia,415
Sorell,Tas,Outer Regional Australia,416
Clarence Valley,NSW,Outer Regional Australia,417
Yass Valley,NSW,Major Cities of Australia,418
MacDonnell,NT,Very Remote Australia,419
Leeton,NSW,Outer Regional Australia,420
