LocationID,National LGA Name 2021,State,National Remoteness Areas,SA4 Name 2021
326,Waverley,NSW,Major Cities of Australia,Sydney - Eastern Suburbs
327,Northern Grampians,Vic,Outer Regional Australia,North West
328,Charters Towers,Qld,Outer Regional Australia,Townsville
329,Mareeba,Qld,Outer Regional Australia,Cairns
330,Horsham,Vic,Outer Regional Australia,North West
331,Adelaide Plains,SA,Inner Regional Australia,Adelaide - North
332,Stonnington,Vic,Major Cities of Australia,Melbourne - Inner
333,Mount Remarkable,SA,Outer Regional Australia,Barossa - Yorke - Mid North
334,Gilgandra,NSW,Outer Regional Australia,Far West and Orana
335,Adelaide Plains,SA,Inner Regional Australia,Barossa - Yorke - Mid North
336,Goondiwindi,Qld,Outer Regional Australia,Darling Downs - Maranoa
337,Mitchell,Vic,Inner Regional Australia,Melbourne - North East
338,Cassowary Coast,Qld,Remote Australia,Cairns
339,Clare and Gilbert Valleys,SA,Outer Regional Australia,Barossa - Yorke - Mid North
340,Moreton Bay,Qld,Inner Regional Australia,Moreton Bay - South
341,West Torrens,SA,Major Cities of Australia,Adelaide - West
342,Yarriambiack,Vic,Outer Regional Australia,North West
343,Alpine,Vic,Outer Regional Australia,Hume
344,Snowy Valleys,NSW,Inner Regional Australia,Riverina
345,Whitehorse,Vic,Major Cities of Australia,Melbourne - Outer East
346,Cloncurry,Qld,Very Remote Australia,Queensland - Outback
347,Hawkesbury,NSW,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury
348,Western Downs,Qld,Remote Australia,Darling Downs - Maranoa
349,Penrith,NSW,Major Cities of Australia,Sydney - South West
350,Redland,Qld,Outer Regional Australia,Brisbane - East
351,Hawkesbury,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury
352,Sorell,Tas,Inner Regional Australia,Hobart
353,Towong,Vic,Outer Regional Australia,Hume
354,Grant,SA,Outer Regional Australia,South Australia - South East
355,Hepburn,Vic,Inner Regional Australia,Ballarat
356,Central Highlands (Qld),Qld,Outer Regional Australia,Central Queensland
357,Charters Towers,Qld,Remote Australia,Townsville
358,Blayney,NSW,Outer Regional Australia,Central West
359,Hilltops,NSW,Outer Regional Australia,Capital Region
360,Lockyer Valley,Qld,Inner Regional Australia,Ipswich
361,Undetermined,WA,Major Cities of Australia,Undetermined
362,Circular Head,Tas,Remote Australia,West and North West
363,Swan Hill,Vic,Outer Regional Australia,North West
364,Murrumbidgee,NSW,Outer Regional Australia,Riverina
365,Undetermined,WA,Inner Regional Australia,Undetermined
366,Undetermined,WA,Outer Regional Australia,Undetermined
367,Upper Lachlan,NSW,Outer Regional Australia,Capital Region
368,Orange,NSW,Inner Regional Australia,Central West
369,Launceston,Tas,Inner Regional Australia,Launceston and North East
370,Cowra,NSW,Outer Regional Australia,Central West
371,Walkerville,SA,Major Cities of Australia,Adelaide - Central and Hills
372,Bayside,NSW,Major Cities of Australia,Sydney - City and Inner South
373,Sutherland,NSW,Inner Regional Australia,Illawarra
374,Whitehorse,Vic,Major Cities of Australia,Melbourne - Inner East
375,Undetermined,WA,Remote Australia,Undetermined
376,Wentworth,NSW,Remote Australia,Murray
377,Tasman,Tas,Outer Regional Australia,South East
378,Latrobe (Tas.),Tas,Outer Regional Australia,West and North West
379,Port Augusta,SA,Outer Regional Australia,South Australia - Outback
380,Benalla,Vic,Outer Regional Australia,Hume
381,Liverpool Plains,NSW,Outer Regional Australia,New England and North West
382,Mornington Peninsula,Vic,Inner Regional Australia,Mornington Peninsula
383,Banana,Qld,Outer Regional Australia,Central Queensland
384,Undetermined,WA,Very Remote Australia,Undetermined
385,Mount Barker,SA,Major Cities of Australia,Adelaide - Central and Hills
386,Inner West,NSW,Major Cities of Australia,Sydney - City and Inner South
387,Loddon,Vic,Outer Regional Australia,Bendigo
388,Eurobodalla,NSW,Inner Regional Australia,Capital Region
389,Sutherland,NSW,Major Cities of Australia,Sydney - Sutherland
390,Roper Gulf,NT,Very Remote Australia,Northern Territory - Outback
391,Barunga West,SA,Outer Regional Australia,Barossa - Yorke - Mid North
392,Tamworth Regional,NSW,Inner Regional Australia,New England and North West
393,West Coast,Tas,Remote Australia,West and North West
394,Tatiara,SA,Outer Regional Australia,South Australia - South East
395,Snowy Monaro Regional,NSW,Inner Regional Australia,Capital Region
396,Etheridge,Qld,Very Remote Australia,Queensland - Outback
397,Bland,NSW,Outer Regional Australia,Central West
398,Oberon,NSW,Outer Regional Australia,Central West
399,Maranoa,Qld,Outer Regional Australia,Darling Downs - Maranoa
400,East Gippsland,Vic,Remote Australia,Latrobe - Gippsland
401,Corangamite,Vic,Inner Regional Australia,Warrnambool and South West
402,Yorke Peninsula,SA,Outer Regional Australia,Barossa - Yorke - Mid North
403,Derwent Valley,Tas,Inner Regional Australia,Hobart
404,Hornsby,NSW,Major Cities of Australia,Sydney - Ryde
405,Port Pirie,SA,Outer Regional Australia,Barossa - Yorke - Mid North
406,Muswellbrook,NSW,Outer Regional Australia,Hunter Valley exc Newcastle
407,Circular Head,Tas,Outer Regional Australia,West and North West
408,Devonport,Tas,Outer Regional Australia,West and North West
409,Flinders (Qld),Qld,Very Remote Australia,Queensland - Outback
410,Burwood,NSW,Major Cities of Australia,Sydney - Inner West
411,Alice Springs,NT,Remote Australia,Northern Territory - Outback
412,Nambucca Valley,NSW,Outer Regional Australia,Mid North Coast
